Title,Weight,Vendor,Price,Flavour Notes,Region,Country,Variety,Process,Image URL,Producer,Farm,Min Elevation,Max Elevation,Harvest,Roast Profile,Brewing,Availability,Roasted Density
El Cedron - Bourbon Sidra Anaerobic Natural,200,20grams Coffee Roastery,32,"Peach, Floral, Berry Jam, Sparkling Acidity",Huila,Colombia,Bourbon Sidra,Anaerobic Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/ElCedron.png?v=1740280673,Maicol Ruiz,El Cedron,2100,2100,January 2025,Medium,Filter,TRUE,436g/L
El Cedron - Bourbon Sidra Anaerobic Natural,1000,20grams Coffee Roastery,128,"Peach, Floral, Berry Jam, Sparkling Acidity",Huila,Colombia,Bourbon Sidra,Anaerobic Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/ElCedron.png?v=1740280673,Maicol Ruiz,El Cedron,2100,2100,January 2025,Medium,Filter,TRUE,436g/L
El Cedron - Bourbon Sidra Anaerobic Natural,400,20grams Coffee Roastery,57.6,"Peach, Floral, Berry Jam, Sparkling Acidity",Huila,Colombia,Bourbon Sidra,Anaerobic Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/ElCedron.png?v=1740280673,Maicol Ruiz,El Cedron,2100,2100,January 2025,Medium,Filter,TRUE,436g/L
Limited Coffee Pack Filter c/w Tote Bag - March 2025,,20grams Coffee Roastery,60,N/A,N/A,N/A,Bourbon Sidra,N/A,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/roaster_choice_-_limited.png?v=1740281569,Maicol Ruiz,N/A,,,January 2025,Medium,Filter,TRUE,436g/L
Roaster's Choice Espresso - February/March 2025,,20grams Coffee Roastery,40,N/A,N/A,N/A,Pacamara,N/A,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/roasterchoice-white_c904f3e2-8a9a-432a-93bf-1f01f284da15.png?v=1714702285,Fernando Leto Escobar,N/A,,,October 2023 - March 2024,Medium,Espresso,TRUE,399g/L
Roaster's Choice Filter - February/March 2025,,20grams Coffee Roastery,50,N/A,N/A,N/A,Gesha,N/A,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/roasterchoice-white_c904f3e2-8a9a-432a-93bf-1f01f284da15.png?v=1714702285,Cesar Andres Ledesma Bermudez,N/A,,,January 2024,Light,Filter,TRUE,431g/L
El Cerro - Pacamara Natural,1000,20grams Coffee Roastery,88,"Red Currant, Jasmine, Amarena Cherry",Apaneca Llamantepec,El Salvador,Pacamara,Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/ElCerroPacamaraNatural2025.png?v=1739365590,Fernando Leto Escobar,El Cerro,1400,1400,October 2023 - March 2024,Medium,Espresso,TRUE,409g/L
El Cerro - Pacamara Natural,200,20grams Coffee Roastery,22,"Red Currant, Jasmine, Amarena Cherry",Apaneca Llamantepec,El Salvador,Pacamara,Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/ElCerroPacamaraNatural2025.png?v=1739365590,Fernando Leto Escobar,El Cerro,1400,1400,October 2023 - March 2024,Medium,Espresso,TRUE,409g/L
El Cerro - Pacamara Natural,400,20grams Coffee Roastery,39.6,"Red Currant, Jasmine, Amarena Cherry",Apaneca Llamantepec,El Salvador,Pacamara,Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/ElCerroPacamaraNatural2025.png?v=1739365590,Fernando Leto Escobar,El Cerro,1400,1400,October 2023 - March 2024,Medium,Espresso,TRUE,409g/L
El Puente - Red Catuai Natural,400,20grams Coffee Roastery,36,"Tropical Fruit, Red Gooseberry, Cacoa Nibs, Berry Jam",La Paz,Honduras,Red Catuai,Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/ElPuentenatural_df197e82-506d-455d-bf23-8eb435649a5f.png?v=1737292772,Moises Herrera &amp; Marysabel Caballero,El Puente,1500,1500,October 2023 - March 2024,Unknown,Espresso,TRUE,414g/L
El Puente - Red Catuai Natural,200,20grams Coffee Roastery,20,"Tropical Fruit, Red Gooseberry, Cacoa Nibs, Berry Jam",La Paz,Honduras,Red Catuai,Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/ElPuentenatural_df197e82-506d-455d-bf23-8eb435649a5f.png?v=1737292772,Moises Herrera &amp; Marysabel Caballero,El Puente,1500,1500,October 2023 - March 2024,Unknown,Espresso,TRUE,414g/L
El Puente - Red Catuai Natural,1000,20grams Coffee Roastery,80,"Tropical Fruit, Red Gooseberry, Cacoa Nibs, Berry Jam",La Paz,Honduras,Red Catuai,Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/ElPuentenatural_df197e82-506d-455d-bf23-8eb435649a5f.png?v=1737292772,Moises Herrera &amp; Marysabel Caballero,El Puente,1500,1500,October 2023 - March 2024,Unknown,Espresso,TRUE,414g/L
Finca Betel - Gesha Natural,200,20grams Coffee Roastery,32,"Tropical Fruit, Red Apple, Grape, Blackberry, Strawberry, Blueberry",Valle de Cauca,Colombia,Gesha,Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/FincaBetelGesha.png?v=1739107147,Cesar Andres Ledesma Bermudez,Finca Betel,1600,1600,January 2025,Unknown,Espresso,TRUE,414g/L
Finca Betel - Gesha Natural,200,20grams Coffee Roastery,32,"Tropical Fruit, Red Apple, Grape, Blackberry, Strawberry, Blueberry",Valle de Cauca,Colombia,Gesha,Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/FincaBetelGesha.png?v=1739107147,Cesar Andres Ledesma Bermudez,Finca Betel,1600,1600,January 2025,Unknown,Filter,TRUE,431g/L
Finca Betel - Gesha Natural,400,20grams Coffee Roastery,57.6,"Tropical Fruit, Red Apple, Grape, Blackberry, Strawberry, Blueberry",Valle de Cauca,Colombia,Gesha,Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/FincaBetelGesha.png?v=1739107147,Cesar Andres Ledesma Bermudez,Finca Betel,1600,1600,January 2025,Unknown,Filter,TRUE,431g/L
Finca Betel - Gesha Natural,400,20grams Coffee Roastery,57.6,"Tropical Fruit, Red Apple, Grape, Blackberry, Strawberry, Blueberry",Valle de Cauca,Colombia,Gesha,Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/FincaBetelGesha.png?v=1739107147,Cesar Andres Ledesma Bermudez,Finca Betel,1600,1600,January 2025,Unknown,Espresso,TRUE,414g/L
Finca Betel - Gesha Natural,1000,20grams Coffee Roastery,128,"Tropical Fruit, Red Apple, Grape, Blackberry, Strawberry, Blueberry",Valle de Cauca,Colombia,Gesha,Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/FincaBetelGesha.png?v=1739107147,Cesar Andres Ledesma Bermudez,Finca Betel,1600,1600,January 2025,Unknown,Espresso,FALSE,414g/L
Finca Betel - Gesha Natural,1000,20grams Coffee Roastery,128,"Tropical Fruit, Red Apple, Grape, Blackberry, Strawberry, Blueberry",Valle de Cauca,Colombia,Gesha,Natural,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/FincaBetelGesha.png?v=1739107147,Cesar Andres Ledesma Bermudez,Finca Betel,1600,1600,January 2025,Unknown,Filter,TRUE,431g/L
