Title,Weight,Vendor,Price,Flavour Notes,Region,Roast Type,Variety,Process,Image URL,Min Elevation,Max Elevation,Brewing,Producer,Availability,Harvest,Country
Cmcr Espresso Blend,250,Common Man Coffee Roasters,19.5,"Ripe Cherry, Stone Fruit, Milk Chocolate",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_CMCRespresso.png?v=1710950401,,,Espresso Roast,,Available,,Unknown
Cmcr Espresso Blend,,Common Man Coffee Roasters,59,"Ripe Cherry, Stone Fruit, Milk Chocolate",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_CMCRespresso.png?v=1710950401,,,Espresso Roast,,Available,,Unknown
Country Cousin Blend,250,Common Man Coffee Roasters,19.5,"Black Tea, Cherry and Candied Fruit with  super clean finish",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_CountryCousin.png?v=1681089913,,,Espresso Roast,,Available,,Unknown
Country Cousin Blend,,Common Man Coffee Roasters,59,"Black Tea, Cherry and Candied Fruit with  super clean finish",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_CountryCousin.png?v=1681089913,,,Espresso Roast,,Available,,Unknown
Lucky Basterd Blend,250,Common Man Coffee Roasters,19.5,"Floral notes, Blueberries, Tropical Fruit",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_LuckyBasterd.png?v=1680801882,,,Espresso Roast,,Available,,Unknown
Lucky Basterd Blend,,Common Man Coffee Roasters,59,"Floral notes, Blueberries, Tropical Fruit",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_LuckyBasterd.png?v=1680801882,,,Espresso Roast,,Available,,Unknown
22 Martin Blend 1,,Common Man Coffee Roasters,59,"Dark Chocolate, Hazelnuts Molasses with a lingering finish",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_Twent2Martin.png?v=1710950390,,,Espresso Roast,,Available,,Unknown
22 Martin Blend 1,250,Common Man Coffee Roasters,19.5,"Dark Chocolate, Hazelnuts Molasses with a lingering finish",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_Twent2Martin.png?v=1710950390,,,Espresso Roast,,Available,,Unknown
Decaf Risaralda Colombia,250,Common Man Coffee Roasters,19.5,"Orange, Prune and Sugar Cane",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250g_Decaf.png?v=1680801989,,,Espresso Roast,,Available,,Colombia
Decaf Risaralda Colombia,,Common Man Coffee Roasters,59,"Orange, Prune and Sugar Cane",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250g_Decaf.png?v=1680801989,,,Espresso Roast,,Available,,Colombia
Lomas Altas Guatemala,250,Common Man Coffee Roasters,19.5,"Milk Chocolate, Pear and Ripe Cherry",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250g_LomasAltas.png?v=1710950512,,,Espresso Roast,,Available,,Guatemala
Lomas Altas Guatemala,,Common Man Coffee Roasters,59,"Milk Chocolate, Pear and Ripe Cherry",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250g_LomasAltas.png?v=1710950512,,,Espresso Roast,,Available,,Guatemala
Santo Antonio Brazil,250,Common Man Coffee Roasters,19.5,"Dark Chocolate, Cacao and Nougat",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250g_SantoAntonio.png?v=1710950459,,,Espresso Roast,,Available,,Brazil
Santo Antonio Brazil,,Common Man Coffee Roasters,59,"Dark Chocolate, Cacao and Nougat",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250g_SantoAntonio.png?v=1710950459,,,Espresso Roast,,Available,,Brazil
Sao Paulo Brazil,250,Common Man Coffee Roasters,19.5,"Toffee, Walnut, and Brown Sugar",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250g_SaoPaulo.png?v=1680802079,,,Espresso Roast,,Available,,Brazil
Sao Paulo Brazil,,Common Man Coffee Roasters,59,"Toffee, Walnut, and Brown Sugar",,Espresso,,,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250g_SaoPaulo.png?v=1680802079,,,Espresso Roast,,Available,,Brazil
