Title,Weight,Vendor,Price,Flavour Notes,Region,Country,Variety,Process,Image URL,Elevation,Roast profile,Acidity
Brazil Rancho Roaster's Special,1000,Cowpresso Coffee Roasters Singapore,57,,Fazenda Rancho Grande,Brazil,,,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/RoasterSpecial.png?v=1685528348,950,,Medium
Brazil Rancho Roaster's Special,500,Cowpresso Coffee Roasters Singapore,36,,Fazenda Rancho Grande,Brazil,,,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/RoasterSpecial.png?v=1685528348,950,,Medium
Brazil Rancho Roaster's Special,250,Cowpresso Coffee Roasters Singapore,19,,Fazenda Rancho Grande,Brazil,,,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/RoasterSpecial.png?v=1685528348,950,,Medium
Bali Kintamani Anaerobic (Roaster's Special),500,Cowpresso Coffee Roasters Singapore,55,Overripe Mango. Tropical Fruits. Blackcurrent.,"Batukaang, Kintamani",Indonesia,Kartika,Anaerobic Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/BaliKintanmani.png?v=1726124153,"1,200 - 1,500",Medium roast,Red Apple
Bali Kintamani Anaerobic (Roaster's Special),250,Cowpresso Coffee Roasters Singapore,30,Overripe Mango. Tropical Fruits. Blackcurrent.,"Batukaang, Kintamani",Indonesia,Kartika,Anaerobic Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/BaliKintanmani.png?v=1726124153,"1,200 - 1,500",Medium roast,Red Apple
Bali Kintamani Anaerobic (Roaster's Special),1000,Cowpresso Coffee Roasters Singapore,90,Overripe Mango. Tropical Fruits. Blackcurrent.,"Batukaang, Kintamani",Indonesia,Kartika,Anaerobic Natural,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/BaliKintanmani.png?v=1726124153,"1,200 - 1,500",Medium roast,Red Apple
Uganda Bugisu AA,500,Single Origin,32,Green Grapes. Sweet Oranges. Plums. Black Tea. Wine. Dried Figs.,Uganda Bugisu,Uganda,"SL 14 , SL 28",Fully Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/Uganda.png?v=1734502205,"1,400 - 2,200",Medium Roast,Winey
Uganda Bugisu AA,1000,Single Origin,52,Green Grapes. Sweet Oranges. Plums. Black Tea. Wine. Dried Figs.,Uganda Bugisu,Uganda,"SL 14 , SL 28",Fully Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/Uganda.png?v=1734502205,"1,400 - 2,200",Medium Roast,Winey
Uganda Bugisu AA,250,Single Origin,17,Green Grapes. Sweet Oranges. Plums. Black Tea. Wine. Dried Figs.,Uganda Bugisu,Uganda,"SL 14 , SL 28",Fully Washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/Uganda.png?v=1734502205,"1,400 - 2,200",Medium Roast,Winey
Guatemala Geisha El Mirador (Roaster's Special),250,Cowpresso Coffee Roasters Singapore,45,,"San Pedro Yepocapa, Acatenango, Guatemala",Guatemala,Geisha,Fully Washed & Sun Dried Wet Mill,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/OrangeRoaster_sSpecial_1024x1024_2x_b41b68e1-1498-443d-a00c-fa928aeb039c.webp?v=1708394186,"1,500",Light Filter,Sauternes acidity
Guatemala Geisha El Mirador (Roaster's Special),500,Cowpresso Coffee Roasters Singapore,81,,"San Pedro Yepocapa, Acatenango, Guatemala",Guatemala,Geisha,Fully Washed & Sun Dried Wet Mill,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/OrangeRoaster_sSpecial_1024x1024_2x_b41b68e1-1498-443d-a00c-fa928aeb039c.webp?v=1708394186,"1,500",Light Filter,Sauternes acidity
Guatemala Geisha El Mirador (Roaster's Special),1000,Cowpresso Coffee Roasters Singapore,144,,"San Pedro Yepocapa, Acatenango, Guatemala",Guatemala,Geisha,Fully Washed & Sun Dried Wet Mill,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/OrangeRoaster_sSpecial_1024x1024_2x_b41b68e1-1498-443d-a00c-fa928aeb039c.webp?v=1708394186,"1,500",Light Filter,Sauternes acidity
100% Jamaica Blue Mountain Coffee (250 Grams),,Premium Coffee,70,,,Unknown,Blue Mountain Arabica Typica,Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/JAMAICA.png?v=1686214560,"1,000 - 1,650",Medium Roast,Balanced
Coffee Lover Gift Bundle,,Cowpresso Coffee Roasters Singapore,139,,,Unknown,100,Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/SurpriseNew2-2.jpg?v=1723683805,"1,000 - 1,650",Medium Roast,Balanced
Coffee Lover Gift Bundle,,Cowpresso Coffee Roasters Singapore,139,,,Unknown,100,Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/SurpriseNew2-2.jpg?v=1723683805,"1,000 - 1,650",Medium Roast,Balanced
Coffee Lover Gift Bundle,,Cowpresso Coffee Roasters Singapore,139,,,Unknown,100,Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/SurpriseNew2-2.jpg?v=1723683805,"1,000 - 1,650",Medium Roast,Balanced
Coffee Lover Gift Bundle,,Cowpresso Coffee Roasters Singapore,139,,,Unknown,100,Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/SurpriseNew2-2.jpg?v=1723683805,"1,000 - 1,650",Medium Roast,Balanced
Coffee Lover Gift Bundle,,Cowpresso Coffee Roasters Singapore,139,,,Unknown,100,Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/SurpriseNew2-2.jpg?v=1723683805,"1,000 - 1,650",Medium Roast,Balanced
Coffee Lover Gift Bundle,,Cowpresso Coffee Roasters Singapore,139,,,Unknown,100,Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/SurpriseNew2-2.jpg?v=1723683805,"1,000 - 1,650",Medium Roast,Balanced
Coffee Lover Gift Bundle,,Cowpresso Coffee Roasters Singapore,139,,,Unknown,100,Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/SurpriseNew2-2.jpg?v=1723683805,"1,000 - 1,650",Medium Roast,Balanced
Colombia Huila Excelso EP,250,Cowpresso Coffee Roasters Singapore,15,,"Huila, Colombia",Colombia,Castillo and Caturra,Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Huila.jpg?v=1588508895,"1,500 - 1,700",Medium Roast,Crisp and low
Colombia Huila Excelso EP,1000,Cowpresso Coffee Roasters Singapore,43,,"Huila, Colombia",Colombia,Castillo and Caturra,Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Huila.jpg?v=1588508895,"1,500 - 1,700",Medium Roast,Crisp and low
Colombia Huila Excelso EP,500,Cowpresso Coffee Roasters Singapore,28,,"Huila, Colombia",Colombia,Castillo and Caturra,Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Huila.jpg?v=1588508895,"1,500 - 1,700",Medium Roast,Crisp and low
Papua New Guinea Dako (Roaster's Special),500,Cowpresso Special,35,,"Banz, Jiwaka Province, Papua New Guinea",Papua New Guinea,"Arusha, Typica, Mundo Novo, Bourbon",Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/PapuaNewGuineaDakoFront_PurpleBackground.png?v=1650067822,"1,500-1,700",Medium Roast,Champagne Grape
Papua New Guinea Dako (Roaster's Special),1000,Cowpresso Special,63,,"Banz, Jiwaka Province, Papua New Guinea",Papua New Guinea,"Arusha, Typica, Mundo Novo, Bourbon",Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/PapuaNewGuineaDakoFront_PurpleBackground.png?v=1650067822,"1,500-1,700",Medium Roast,Champagne Grape
Papua New Guinea Dako (Roaster's Special),250,Cowpresso Special,19,,"Banz, Jiwaka Province, Papua New Guinea",Papua New Guinea,"Arusha, Typica, Mundo Novo, Bourbon",Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/products/PapuaNewGuineaDakoFront_PurpleBackground.png?v=1650067822,"1,500-1,700",Medium Roast,Champagne Grape
Yirgacheffe Misty Valley Ethiopian,500,Floral and Fruity,42,Jasmine. Orange Blossom. Blueberry. Black Tea.,"Yirgacheffe, Ethiopia",Ethiopia,Ethiopian Heirlooms,Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/MISTY.png?v=1686214873,"1,800 - 2,100",Medium Roast,Crisp
Yirgacheffe Misty Valley Ethiopian,1000,Floral and Fruity,63,Jasmine. Orange Blossom. Blueberry. Black Tea.,"Yirgacheffe, Ethiopia",Ethiopia,Ethiopian Heirlooms,Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/MISTY.png?v=1686214873,"1,800 - 2,100",Medium Roast,Crisp
Yirgacheffe Misty Valley Ethiopian,250,Floral and Fruity,22,Jasmine. Orange Blossom. Blueberry. Black Tea.,"Yirgacheffe, Ethiopia",Ethiopia,Ethiopian Heirlooms,Fully washed,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/MISTY.png?v=1686214873,"1,800 - 2,100",Medium Roast,Crisp
Guatemala El Bosque (Seasonal Special),250,Cowpresso Coffee Roasters Singapore,19,,"Villa Canales, Aldea Loma Larga Mountains, Guatemala",Guatemala,"Bourbon Heirloom, Bourbon, Caturra & Pache",Fully washed & Sun Dried Wet Mill,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/GUAT.png?v=1686214774,1645,Medium Roast,Apple crisps
Guatemala El Bosque (Seasonal Special),1000,Cowpresso Coffee Roasters Singapore,66,,"Villa Canales, Aldea Loma Larga Mountains, Guatemala",Guatemala,"Bourbon Heirloom, Bourbon, Caturra & Pache",Fully washed & Sun Dried Wet Mill,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/GUAT.png?v=1686214774,1645,Medium Roast,Apple crisps
Guatemala El Bosque (Seasonal Special),500,Cowpresso Coffee Roasters Singapore,36,,"Villa Canales, Aldea Loma Larga Mountains, Guatemala",Guatemala,"Bourbon Heirloom, Bourbon, Caturra & Pache",Fully washed & Sun Dried Wet Mill,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/GUAT.png?v=1686214774,1645,Medium Roast,Apple crisps
Papua New Guinea,500,Cowpresso Special,47,,"Waghi Valley, Western Highlands Province, Papua New Guinea",Papua New Guinea,"Typica, Arusha.","Fully washed & Sun dried. Pulped on same day of picking, fermented for a period of three days broken down to every 24 hours of washing. Unlike other coffees, the Sigri is followed up by a total immersion of water for a further day and this creates a superior cleaner coffee.",https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Peaberry.jpg?v=1588506423,"1,500",Medium Roast,Pleasant
Papua New Guinea,250,Cowpresso Special,25,,"Waghi Valley, Western Highlands Province, Papua New Guinea",Papua New Guinea,"Typica, Arusha.","Fully washed & Sun dried. Pulped on same day of picking, fermented for a period of three days broken down to every 24 hours of washing. Unlike other coffees, the Sigri is followed up by a total immersion of water for a further day and this creates a superior cleaner coffee.",https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Peaberry.jpg?v=1588506423,"1,500",Medium Roast,Pleasant
Papua New Guinea,1000,Cowpresso Special,73,,"Waghi Valley, Western Highlands Province, Papua New Guinea",Papua New Guinea,"Typica, Arusha.","Fully washed & Sun dried. Pulped on same day of picking, fermented for a period of three days broken down to every 24 hours of washing. Unlike other coffees, the Sigri is followed up by a total immersion of water for a further day and this creates a superior cleaner coffee.",https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Peaberry.jpg?v=1588506423,"1,500",Medium Roast,Pleasant
Nanyang Kopi Roast,250,"Bold, Strong & Intense",19,,,Unknown,"Typica, Bourbon, Catimor",Fully washed and Natural.,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/KOPI.png?v=1686214806,"400 - 1,800",Dark Roast,Mild
Nanyang Kopi Roast,1000,"Bold, Strong & Intense",57,,,Unknown,"Typica, Bourbon, Catimor",Fully washed and Natural.,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/KOPI.png?v=1686214806,"400 - 1,800",Dark Roast,Mild
Nanyang Kopi Roast,500,"Bold, Strong & Intense",36,,,Unknown,"Typica, Bourbon, Catimor",Fully washed and Natural.,https://cdn.shopify.com/s/files/1/0009/8916/7677/files/KOPI.png?v=1686214806,"400 - 1,800",Dark Roast,Mild
Belgian Mocha,1000,Cowpresso Coffee Roasters,66,,,Unknown,"Bourbon, Catimor","Fully washed, Natural and infused with Dark Belgian Bittersweet Cacoa essential oils and Cocoa butter.",https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Belgian-web.jpg?v=1587613987,"400 - 1,700",Medium Dark Roast,Low
Belgian Mocha,250,Cowpresso Coffee Roasters,20,,,Unknown,"Bourbon, Catimor","Fully washed, Natural and infused with Dark Belgian Bittersweet Cacoa essential oils and Cocoa butter.",https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Belgian-web.jpg?v=1587613987,"400 - 1,700",Medium Dark Roast,Low
Belgian Mocha,500,Cowpresso Coffee Roasters,47,,,Unknown,"Bourbon, Catimor","Fully washed, Natural and infused with Dark Belgian Bittersweet Cacoa essential oils and Cocoa butter.",https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Belgian-web.jpg?v=1587613987,"400 - 1,700",Medium Dark Roast,Low
Belgian Mocha,500,Cowpresso Coffee Roasters,37,,,Unknown,"Bourbon, Catimor","Fully washed, Natural and infused with Dark Belgian Bittersweet Cacoa essential oils and Cocoa butter.",https://cdn.shopify.com/s/files/1/0009/8916/7677/products/Belgian-web.jpg?v=1587613987,"400 - 1,700",Medium Dark Roast,Low
