Title,Weight,Vendor,Price,Flavour Notes,Region,Country,Variety,Process,Image URL,Brewing
Glow In The Dark,1050,Homeground Coffee Roasters,58.5,"White - dark chocolate, creamy, heavy bodied Black - dark chocolate, robust, roasted nuts",Unknown,Blend,,,https://cdn.shopify.com/s/files/1/0035/8144/4194/files/GitD_3.0_June_2024_-_Front.jpg?v=1717665080,Espresso Coffee
Glow In The Dark,350,Homeground Coffee Roasters,20,"White - dark chocolate, creamy, heavy bodied Black - dark chocolate, robust, roasted nuts",Unknown,Blend,,,https://cdn.shopify.com/s/files/1/0035/8144/4194/files/GitD_3.0_June_2024_-_Front.jpg?v=1717665080,Espresso Coffee
Glow In The Dark,550,Homeground Coffee Roasters,36,"White - dark chocolate, creamy, heavy bodied Black - dark chocolate, robust, roasted nuts",Unknown,Blend,,,https://cdn.shopify.com/s/files/1/0035/8144/4194/files/GitD_3.0_June_2024_-_Front.jpg?v=1717665080,Espresso Coffee
Vanta,1050,Homeground Coffee Roasters,65,"White - milk chocolate, pecan, vanilla cream Black - 75% dark chocolate, dried apricot, red apple, pecan",Unknown,Blend,,,https://cdn.shopify.com/s/files/1/0035/8144/4194/files/Vanta3.02024_Front_759bb646-4ab5-45f3-ad35-348948172983.jpg?v=1721642962,Espresso Coffee
Vanta,550,Homeground Coffee Roasters,40,"White - milk chocolate, pecan, vanilla cream Black - 75% dark chocolate, dried apricot, red apple, pecan",Unknown,Blend,,,https://cdn.shopify.com/s/files/1/0035/8144/4194/files/Vanta3.02024_Front_759bb646-4ab5-45f3-ad35-348948172983.jpg?v=1721642962,Espresso Coffee
Vanta,350,Homeground Coffee Roasters,22,"White - milk chocolate, pecan, vanilla cream Black - 75% dark chocolate, dried apricot, red apple, pecan",Unknown,Blend,,,https://cdn.shopify.com/s/files/1/0035/8144/4194/files/Vanta3.02024_Front_759bb646-4ab5-45f3-ad35-348948172983.jpg?v=1721642962,Espresso Coffee
Hawaii,250,Homeground Coffee Roasters,32,"White - Chocolate, green apple, apricot Black - Mango, passionfruit, raisin",Unknown,Colombia,Mokka,Natural,https://cdn.shopify.com/s/files/1/0035/8144/4194/files/Hawaii_Mokka_Natural-Espresso-Front.jpg?v=1724058448,Espresso Coffee
Hawaii,1000,Homeground Coffee Roasters,105,"White - Chocolate, green apple, apricot Black - Mango, passionfruit, raisin",Unknown,Colombia,Mokka,Natural,https://cdn.shopify.com/s/files/1/0035/8144/4194/files/Hawaii_Mokka_Natural-Espresso-Front.jpg?v=1724058448,Espresso Coffee
Hawaii,500,Homeground Coffee Roasters,58,"White - Chocolate, green apple, apricot Black - Mango, passionfruit, raisin",Unknown,Colombia,Mokka,Natural,https://cdn.shopify.com/s/files/1/0035/8144/4194/files/Hawaii_Mokka_Natural-Espresso-Front.jpg?v=1724058448,Espresso Coffee
La Divisa,500,Homeground Coffee Roasters,57.5,"White - kaffir lime, blueberry yoghurt Black - kaffir lime, blueberry, orange",Unknown,Colombia,Pink Bourbon,Washed,https://cdn.shopify.com/s/files/1/0035/8144/4194/files/LaDivisa_PinkBourbon_Washed_Colombia-Front.jpg?v=1739952098,Espresso Coffee
