Title,grams,Vendor,Price,Flavour Notes,Region,Country,Variety,Process,Image URL,Weight
Cafe Monza Veloce Blend,250g,Jewel Coffee,12.9,"Chocolate, Caramel, Hazelnut Coffee Roast Type: Dark Roast",Unknown,,,,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-veloce-3.jpg?v=1682881666,250
Cafe Monza Ottimo Blend,250g,Jewel Coffee,12.9,"Clove, Dark Chocolate",Unknown,,,,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-ottimo-3.jpg?v=1682881937,250
Cafe Monza Forte Blend,250g,Jewel Coffee,12.9,"Dark Sugars, Smoky, Heavy Body, Low Acidity, Smooth Coffee Roast Type: Dark Roast",Unknown,,,,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-forte-3.jpg?v=1682881047,250
El Salvador,250g,Jewel Coffee,18,"Caramel, Apple Sweetness, Heavy Body",Unknown,El Salvador,Pacas / Red Bourbon,,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-elsalvador-3.jpg?v=1684313001,250
Alpha Red,250g,Jewel Coffee,18,"Floral, Round Body, Cherry & Toffee",Unknown,"El Salvador, Ethiopia, Indonesia",,,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-alphared-3.jpg?v=1684309536,250
Lightning Bolt,250g,Jewel Coffee,18,"Dark Chocolate, Hazelnut, Cherry",Unknown,"Brazil, Peru",,,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/JCBeans-17.png?v=1717049920,250
Brazil,250g,Jewel Coffee,18,"Honey, Nutty, Creamy",Unknown,Brazil,Yellow Bourbon,,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-brazil-3.jpg?v=1684309934,250
Pearl Gem,250g,Jewel Coffee,18,"Vibrant, Complex, Silky Smooth",Unknown,"Central America, East Africa",,,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-pearlgem-3.jpg?v=1684313190,250
Sumatra,250g,Jewel Coffee,18,"Green Apple, Molasses, Smooth",Unknown,Indonesia,"Typica, Ateng",,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-sumatra-3.jpg?v=1684313319,250
Decaf Colombia,250g,Jewel Coffee,18,"Tart Fruit, Nutty, Dark Cocoa",Unknown,Colombia,Mixed,,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-decafcolombia-3.jpg?v=1684312957,250
