Title,Weight,Vendor,Price,Flavour Notes,Region,Country,Variety,Process,Image URL,Availability,Roast Type
Brazil Minas Gerais Volcanic Peaberries,250,Parchmen & Co,19,Caramel | Honey | Sweet Orange | Maple | Nuts,Unknown,Brazil,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_15.png?v=1721543801,Available,espresso
Brazil Minas Gerais Volcanic Peaberries,1000,Parchmen & Co,53,Caramel | Honey | Sweet Orange | Maple | Nuts,Unknown,Brazil,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_15.png?v=1721543801,Available,espresso
Brazil Minas Gerais Volcanic Peaberries,500,Parchmen & Co,36,Caramel | Honey | Sweet Orange | Maple | Nuts,Unknown,Brazil,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_15.png?v=1721543801,Available,espresso
Brazil Mogiana,250,Parchmen & Co,19,Vanilla | Milk | Berries,Unknown,Brazil,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_33.png?v=1722259852,Available,espresso
Brazil Mogiana,1000,Parchmen & Co,53,Vanilla | Milk | Berries,Unknown,Brazil,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_33.png?v=1722259852,Available,espresso
Brazil Mogiana,500,Parchmen & Co,36,Vanilla | Milk | Berries,Unknown,Brazil,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024_Labels_10_x_7_cm_33.png?v=1722259852,Available,espresso
Coffee Blend - Bed of Roses,1000,Parchmen & Co,60,"Roses/""Bandong"" | Honey | Berries | Chocolates",Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_5_f1896b54-a81f-4510-a34e-74ad988978f6.png?v=1737471612,Available,espresso
Coffee Blend - Bed of Roses,250,Parchmen & Co,21,"Roses/""Bandong"" | Honey | Berries | Chocolates",Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_5_f1896b54-a81f-4510-a34e-74ad988978f6.png?v=1737471612,Available,espresso
Coffee Blend - Bed of Roses,150,Parchmen & Co,14,"Roses/""Bandong"" | Honey | Berries | Chocolates",Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_5_f1896b54-a81f-4510-a34e-74ad988978f6.png?v=1737471612,Available,espresso
Coffee Blend - Cinnamon Donut,150,Parchmen & Co,12,Cinnamon | Spices | Sweet Chocolate | Blueberries,Unknown,Unknown,Unknown,Unknown,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_3.png?v=1737470182,Available,
