Title,Weight,Vendor,Price,Flavour Notes,Region,Country,Variety,Process,Image URL,Brewing
Plum Butter Espresso - Finca Betania,250,Dak Coffee — Percolate Coffee & Goods,29,"Red Apple,",Unknown,Colombia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/670e33ad3ee9f7071373d21a/1740894902486/327196560_753445985766077_1345537210886753430_n.jpg?format=1500w,ESPRESSO
Lemon Pearls - Rumu Damo,250,Dak Coffee — Percolate Coffee & Goods,31,"Lemon, Nectarine, Wild",Unknown,Ethiopia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/670e33ad3ee9f7071373d21a/1740894902486/327196560_753445985766077_1345537210886753430_n.jpg?format=1500w,FILTER
Blackberry Disco - Ibutiti,250,Dak Coffee — Percolate Coffee & Goods,31,"Blackberry, Rhubarb,",Unknown,Kenya,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/670e33ad3ee9f7071373d21a/1740894902486/327196560_753445985766077_1345537210886753430_n.jpg?format=1500w,FILTER
Grenadine - Nestor Lasso Papayo,125,Dak Coffee — Percolate Coffee & Goods,32,"Sweet Cherries,",Unknown,Colombia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/670e33ad3ee9f7071373d21a/1740894902486/327196560_753445985766077_1345537210886753430_n.jpg?format=1500w,FILTER
Pineberry - Zarza Pink Bourbon,250,Dak Coffee — Percolate Coffee & Goods,32,"Jasmine, Honey, Lemon",Unknown,Colombia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/670e33ad3ee9f7071373d21a/1740894902486/327196560_753445985766077_1345537210886753430_n.jpg?format=1500w,FILTER
Bookkisa,250,Friedhats Coffee — Percolate Coffee & Goods,33,"Strawberry Cake, Mango, Vanilla",Unknown,Ethiopia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e193ffdfc9029cc55f56a/1715327386518/Untitled%2Bdesign%2B%25287%2529.jpg?format=1500w,Unknown
Elias Roa,250,Friedhats Coffee — Percolate Coffee & Goods,34,"Lychee, Mulling Spices, Balanced",Unknown,Colombia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e193ffdfc9029cc55f56a/1715327386518/Untitled%2Bdesign%2B%25287%2529.jpg?format=1500w,Unknown
Franceschi Gesha Anaerobic Washed,250,Friedhats Coffee — Percolate Coffee & Goods,72,"Orange Blossom, Purple",Unknown,Panama,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e193ffdfc9029cc55f56a/1715327386518/Untitled%2Bdesign%2B%25287%2529.jpg?format=1500w,Unknown
Moon Gesha,250,Friedhats Coffee — Percolate Coffee & Goods,75,"Jasmine, Green Tea, White Grapes",Unknown,Colombia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e193ffdfc9029cc55f56a/1715327386518/Untitled%2Bdesign%2B%25287%2529.jpg?format=1500w,Unknown
Diego Horta Washed,250,Friedhats Coffee — Percolate Coffee & Goods,44,"Milky Oolong, Honey Melon, Red Grape",Unknown,Colombia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e193ffdfc9029cc55f56a/1715327386518/Untitled%2Bdesign%2B%25287%2529.jpg?format=1500w,Unknown
Buku Sayisa Anaerobic,250,Friedhats Coffee — Percolate Coffee & Goods,37,"Tropical fruits, Cherry, Milk",Unknown,Ethiopia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e193ffdfc9029cc55f56a/1715327386518/Untitled%2Bdesign%2B%25287%2529.jpg?format=1500w,Unknown
Gitesi Washed,250,Friedhats Coffee — Percolate Coffee & Goods,34,"Peach Jam, Fig, Oolong Tea",Unknown,Rwanda,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e193ffdfc9029cc55f56a/1715327386518/Untitled%2Bdesign%2B%25287%2529.jpg?format=1500w,Unknown
Mariel Guevara Espresso,250,Friedhats Coffee — Percolate Coffee & Goods,33,"Red Apple, Brown Sugar, White",Unknown,Colombia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e193ffdfc9029cc55f56a/1715327386518/Untitled%2Bdesign%2B%25287%2529.jpg?format=1500w,Unknown
Supernatural,250,Friedhats Coffee — Percolate Coffee & Goods,34,"Pineapple, Yoghurt, Cacao Nibs",Unknown,Colombia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e193ffdfc9029cc55f56a/1715327386518/Untitled%2Bdesign%2B%25287%2529.jpg?format=1500w,Unknown
La Gardenia Gesha,250,Friedhats Coffee — Percolate Coffee & Goods,40,"Red Berry, Caramel, Floral",Unknown,Guatemala,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e193ffdfc9029cc55f56a/1715327386518/Untitled%2Bdesign%2B%25287%2529.jpg?format=1500w,Unknown
FES Kenya Juana 120N,250,Friedhats Coffee — Percolate Coffee & Goods,36,"Chocolate Mousse, Rum Raisins,",Unknown,El Salvador,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e193ffdfc9029cc55f56a/1715327386518/Untitled%2Bdesign%2B%25287%2529.jpg?format=1500w,Unknown
Seoul Cinema Blend,250,Fritz Coffee Company (Pre-order) — Percolate Coffee & Goods,26,"Plum, Raspberry, Black Tea",Unknown,Ethiopia/Costa Rica,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e1a53240c671bfabae0b7/1741063769699/Screenshot+2025-02-28+at+9.26.35+PM.png?format=1500w,Unknown
Herbazu San Roque Natural,250,Fritz Coffee Company (Pre-order) — Percolate Coffee & Goods,36,"Orange, Grape",Unknown,Costa Rica,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e1a53240c671bfabae0b7/1741063769699/Screenshot+2025-02-28+at+9.26.35+PM.png?format=1500w,Unknown
El Diviso Pink Bourbon Washed,250,Fritz Coffee Company (Pre-order) — Percolate Coffee & Goods,29,"Hibiscus Tea, Strawberry",Unknown,Colombia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e1a53240c671bfabae0b7/1741063769699/Screenshot+2025-02-28+at+9.26.35+PM.png?format=1500w,Unknown
Vista al Valle Villa Sarchi Honey,250,Fritz Coffee Company (Pre-order) — Percolate Coffee & Goods,28,"Dried Fruits, Berries",Unknown,Costa Rica,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e1a53240c671bfabae0b7/1741063769699/Screenshot+2025-02-28+at+9.26.35+PM.png?format=1500w,Unknown
Everything Good Blend,250,Fritz Coffee Company (Pre-order) — Percolate Coffee & Goods,26,Dried,Unknown,Guatemala/India/Ethiopia/Costa Rica,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e1a53240c671bfabae0b7/1741063769699/Screenshot+2025-02-28+at+9.26.35+PM.png?format=1500w,Unknown
Jimma Jarso Natural,250,Fritz Coffee Company (Pre-order) — Percolate Coffee & Goods,28,"Blackcurrant Jam, Almond Chocolate",Unknown,Ethiopia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/604e1a53240c671bfabae0b7/1741063769699/Screenshot+2025-02-28+at+9.26.35+PM.png?format=1500w,Unknown
Jhoan Vergara Washed Tartaric Tabi,250,Process Coffee Beans — Percolate Coffee & Goods,45,"Red Grapes,",Unknown,Colombia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/66948357f5fd6910ccbc457a/1741062159908/Process.jpg?format=1500w,Unknown
Cajamarca,250,Process Coffee Beans — Percolate Coffee & Goods,39,"Green Apple, Mandarin, Brown Sugar",Unknown,Peru,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/66948357f5fd6910ccbc457a/1741062159908/Process.jpg?format=1500w,Unknown
San Sebastian,250,Process Coffee Beans — Percolate Coffee & Goods,39,"Plum, Apple, Caramel",Unknown,Colombia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/66948357f5fd6910ccbc457a/1741062159908/Process.jpg?format=1500w,Unknown
Gisheke Anoxic,250,Process Coffee Beans — Percolate Coffee & Goods,42,"Macerated Strawberry, Vanilla, Daiquiri",Unknown,Rwanda,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/66948357f5fd6910ccbc457a/1741062159908/Process.jpg?format=1500w,Unknown
Gisheke Natural,250,Process Coffee Beans — Percolate Coffee & Goods,39,"Red Berries, Honey, Cloves",Unknown,Rwanda,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/66948357f5fd6910ccbc457a/1741062159908/Process.jpg?format=1500w,Unknown
Sebastian Ramirez Natural Caturra,250,Process Coffee Beans — Percolate Coffee & Goods,45,"Cherry, Chocolate Lime",Unknown,Colombia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/66948357f5fd6910ccbc457a/1741062159908/Process.jpg?format=1500w,Unknown
Jairo Arcila Pink Bourbon,250,Process Coffee Beans — Percolate Coffee & Goods,45,"Papaya, Jasmine, Brown Sugar",Unknown,Colombia,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/66948357f5fd6910ccbc457a/1741062159908/Process.jpg?format=1500w,Unknown
Onibus Blend Drip Bag (10s),250,Onibus Coffee — Percolate Coffee & Goods,33,"Sweet Chocolate, Creamy, Winey",Unknown,,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/66ecfb76352a963da0b571f1/1734745340148/Screenshot+2024-09-20+at+12.27.23+PM.png?format=1500w,Unknown
Colombia Drip Bag (10s),250,Onibus Coffee — Percolate Coffee & Goods,36,"Dried Apricot, Loquat, Darjeeling",Unknown,,Unknown,Unknown,http://static1.squarespace.com/static/604e0424baa617215978082f/604e068ca1b3ce1d74eee91e/66ecfb76352a963da0b571f1/1734745340148/Screenshot+2024-09-20+at+12.27.23+PM.png?format=1500w,Unknown
