Title,Weight,Vendor,Price,Flavour Notes,Country,Region,Process,Variety,Image URL
Nuts & Bolts,1000,PPP Coffee,72,"Citrus, Almond",,,,,https://cdn.shopify.com/s/files/1/1628/1923/files/Nuts-_-Bolts_Dec-2024_250g.jpg?v=1736833563
Nuts & Bolts,250,PPP Coffee,21,"Citrus, Almond",,,,,https://cdn.shopify.com/s/files/1/1628/1923/files/Nuts-_-Bolts_Dec-2024_250g.jpg?v=1736833563
Terra Firma,250,PPP Coffee,21,": Red Berries, Macadamia Nut, Milk Chocolate",,,,,https://cdn.shopify.com/s/files/1/1628/1923/files/Terra-Firma_SG_250g_2024-12.jpg?v=1736832903
Throwback,250,PPP Coffee,21,"Dark Chocolate, Caramel, Hazelnut",,,,,https://cdn.shopify.com/s/files/1/1628/1923/files/TB_250g_Feb23.jpg?v=1683256413
Throwback,1000,PPP Coffee,72,"Dark Chocolate, Caramel, Hazelnut",,,,,https://cdn.shopify.com/s/files/1/1628/1923/files/TB_250g_Feb23.jpg?v=1683256413
Colombia El Indio,250,PPP Coffee,23,:,: Colombia,Tolima,: Natural,: Caturra,https://cdn.shopify.com/s/files/1/1628/1923/files/Colombia-El-Indio_250g.jpg?v=1708329376
India Nurita Estate,250,PPP Coffee,23,:,: India,,: Washed,:,https://cdn.shopify.com/s/files/1/1628/1923/files/India-Nurita-Estate_250g.jpg?v=1687488562
40 Winks Decaf,250,PPP Coffee,23,:,Mexico Grapos,Chiapas,Fully-Washed,"Typica, Marsellesa, Bourbon",https://cdn.shopify.com/s/files/1/1628/1923/files/Decaf_40-Winks_Mexico-Grapos_250g.jpg?v=1682651002
Ethiopia Suke Quto,250,PPP Coffee,23,Peach,Ethiopia,Guji,Fully-Washed,Welicho & Kurume,https://cdn.shopify.com/s/files/1/1628/1923/products/Ethiopia-Suke-Quto-2022_250g.jpg?v=1657180531
Costa Rica Aquiares Estate,250,PPP Coffee,28,"Ripe Pineapple, Dried Mango, Honeydew",Costa Rica,Turrialba,Natural,Caturra,https://cdn.shopify.com/s/files/1/1628/1923/files/Costa-Rica-Aquiares-Estate_250g.jpg?v=1738739167
Costa Rica Aquiares Estate,125,PPP Coffee,17,"Ripe Pineapple, Dried Mango, Honeydew",Costa Rica,Turrialba,Natural,Caturra,https://cdn.shopify.com/s/files/1/1628/1923/files/Costa-Rica-Aquiares-Estate_250g.jpg?v=1738739167
Ethiopia Bedesa Rusa,125,PPP Coffee,16,"Melon, Guava, Lime Zest",Ethiopia,,Natural,"JARC Varieties, Local Landraces",https://cdn.shopify.com/s/files/1/1628/1923/files/Ethiopia-Bedesa-Rusa_250g.jpg?v=1734586352
Ethiopia Bedesa Rusa,250,PPP Coffee,26,"Melon, Guava, Lime Zest",Ethiopia,,Natural,"JARC Varieties, Local Landraces",https://cdn.shopify.com/s/files/1/1628/1923/files/Ethiopia-Bedesa-Rusa_250g.jpg?v=1734586352
Colombia Villa Mercedes,250,PPP Coffee,28,"Red Apple, Plum, Chamomile",Colombia,Huila,Washed,"Castillo, Cenicafé",https://cdn.shopify.com/s/files/1/1628/1923/files/Colombia-Villa-Mercedes_250g.jpg?v=1732851448
Kenya Kiamutuira,250,PPP Coffee,28,"Blackberry, Red Plum, Hibiscus",Kenya,Kirinyaga,Washed,"SL28, SL34, Batian",https://cdn.shopify.com/s/files/1/1628/1923/files/Kenya-Kiamutuira_250g.jpg?v=1740556534
Kenya Kiamutuira,125,PPP Coffee,17,"Blackberry, Red Plum, Hibiscus",Kenya,Kirinyaga,Washed,"SL28, SL34, Batian",https://cdn.shopify.com/s/files/1/1628/1923/files/Kenya-Kiamutuira_250g.jpg?v=1740556534
