product_id,brand,roaster_name,title,price,currency,product_type,description,availability,sku,url,material,size,color,created_at,updated_at,published_at,weight,primary_image,secondary_images,total_images,roast,finish,grind_size,quantity_per_month,model,material_type,roast_date,origin,subscription_plan
6829253951675,20grams Coffee Roastery,20gramscoffeeroastery,Aeropress,65.0,USD,Brewer,One of the simplest & most affordable coffee maker Zippered nylon tote bag 350 filters Chamber Plunger filter cap filter holder funnel stirrer scoop,out of stock,40227716104379,https://20gramscoffeeroastery.com/products/aeropress,,,,2021-05-12T03:17:30.000Z,2025-10-05T02:57:25.000Z,2022-07-20T13:10:20.000Z,700 g,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/originalaeropress.jpg,,1.0,,,,,,,,,
7015283523771,20grams Coffee Roastery,20gramscoffeeroastery,"BWT 3/8"" Aquameter with LCD Display",225.0,USD,Equipment,"Complete your Set-Up with the BWT 3/8"" Aquameter. BWT's Aquameter is an accessory that can be fitted to their filter head to monitor the flow of water in your filter cartridge. With just two buttons and an LCD screen, the Aquamater can easily be programmed with your water hardness and will track the total volume of water in gallons. Once it has been programmed, the meter will count down to 0 at which point it is recommended that your filter cartridge be replaced. BWT 3/8"" Aquameter includes: 1 x CR2032 Battery The BWT 3/8\"" Aquameter with LCD Display is compatible for use with all varieties of BWT water filter cartridges including the BestMax Premium and BestTaste.",out of stock,41152342065339,https://20gramscoffeeroastery.com/products/bwt-3-8-aquameter-with-lcd-display,,,,2021-08-05T02:23:17.000Z,2025-10-05T02:57:26.000Z,2021-08-05T02:27:10.000Z,500 g,https://cdn.shopify.com/s/files/1/0569/3879/1099/products/bwtaquameter.jpg,,1.0,,,,,,,,,
7008114966715,20grams Coffee Roastery,20gramscoffeeroastery,BWT Besttaste X Water Filter Package w/Besthead FLEX,622.0,USD,Equipment,"Great coffee needs great water, and with the BWT Besttaste, you’re just a few steps away from both. Bundled for your convenience, the BWT Besttaste X Filter Package w/Besthead FLEX has what you need to keep your espresso tasting great. The new Besthead FLEX features an updated mounting bracket for greater compatibility with different types of screws, an integrated flush valve, and the ability to swap out the included fittings for others produced by BWT. BWT's Besttaste X filter cartridge is designed to optimize water for use in coffee and espresso machines in areas of low carbonate hardness (soft water), the BWT Besttaste filter cartridges eliminate unpleasant odors and tastes from water reliably and effectively. The filter utilizes activated carbon to reduce the level of heavy metals in the water and eliminates particles as small as 5 μm including chlorine, sand, and organic impurities. The activated carbon also features special silvering that helps to eliminate the growth of bacteria",out of stock,41129908175035,https://20gramscoffeeroastery.com/products/bwt-besttaste-water-filter,,,,2021-08-02T13:21:27.000Z,2025-10-05T02:57:26.000Z,2021-08-02T13:36:11.000Z,1500 g,https://cdn.shopify.com/s/files/1/0569/3879/1099/products/besttasteBWT.png,,1.0,,,,,,,,,
7008280740027,20grams Coffee Roastery,20gramscoffeeroastery,BWT Besttaste X Filter Cartridge,179.5,USD,Equipment,"Complete your Set-Up with the BWT Besttaste X Filter Cartridge. Designed to optimize water for use in coffee and espresso machines in areas of low carbonate hardness (soft water), the BWT Besttaste filter cartridges eliminate unpleasant odors and tastes from water reliably and effectively. The filter utilizes activated carbon to to reduce the level of heavy metals in the water and eliminates particles as small as 5 μm including chlorine, sand, and organic impurities. The activated carbon also features special silvering that helps to eliminate the growth of bacteria. The Besttaste filter cartridges do not prevent scale buildup within espresso machines or coffee brewers. To ensure the longevity of your machine, we recommend regular descaling as part of your maintenance routine. Please Note: Regardless of the total water volume run through the cartridge, BWT recommends replacing your filter after a maximum of 12 months of use.",out of stock,41130242343099,https://20gramscoffeeroastery.com/products/bwt-besttaste-x-filter-cartridge,,,,2021-08-02T14:10:14.000Z,2025-10-05T02:57:26.000Z,2021-08-02T14:12:23.000Z,1000 g,https://cdn.shopify.com/s/files/1/0569/3879/1099/products/bwt-besthead-cartridge.jpg,,1.0,,,,,,,,,
7041640431803,20grams Coffee Roastery,20gramscoffeeroastery,Coffee Puck Screen,20.0,USD,Equipment,"Suitable for use with E61 Grouphead or 58mm baskets This coffee puck screen is made from stainless steel and is precision engineered to have incredibly small and consistently sized holes. This is placed directly on the coffee puck, after tamping and suits naked portafilters Advantages: More even distribution of water across the puck Minimise puck disturbance (less forceful water impact on the puck) Avoids channelling Keeps brew head clean after extraction (making your cleaning routine significantly quicker and easier). Product Specification Material: SUS 316 Solid Stainless Steel Mesh Filtration Mesh Size: 100 µm External Diameter: 58.5mm Thickness: 1.0mm",out of stock,41246668751035,https://20gramscoffeeroastery.com/products/coffee-puck-screen,,,,2021-08-17T01:43:46.000Z,2025-10-05T02:57:26.000Z,2021-08-27T06:51:37.000Z,100 g,https://cdn.shopify.com/s/files/1/0569/3879/1099/products/puckscreen-4.jpg,"[""https://cdn.shopify.com/s/files/1/0569/3879/1099/products/puckscreen-3.jpg""]",2.0,,,,,,,,,
7294240751803,20grams Coffee Roastery,20gramscoffeeroastery,Brewing Masterclass,90.0,USD,Coffee Beans - Roasted,"Let's talk coffee - quality home brewing This Coffee Brewing course will be a great starting point for anyone interested in non-espresso brewing. Manual brewing is the easiest way to reproduce a great cup of coffee at home. In this workshop, you will learn: Extraction of taste components Main components of extraction and their movement order Variables that ""speed"" up extraction Variables that ""increase"" extraction Brew design based on quality of roasted coffee Effects of water quality in brewing, etc",out of stock,42810794574011,https://20gramscoffeeroastery.com/products/brewing,,,,2022-01-05T02:48:46.000Z,2025-10-05T02:57:26.000Z,2022-01-05T02:59:11.000Z,350 g,https://cdn.shopify.com/s/files/1/0569/3879/1099/products/brewingworkshop-2.jpg,,1.0,,,,,,,,,
7015330349243,20grams Coffee Roastery,20gramscoffeeroastery,BWT Bestmin Premium M Filter Cartridge,350.5,USD,Equipment,"Complete your Set-Up with the BWT Bestmin Premium M Filter Cartridge. BWT's Bestmin Premium filter cartridge is designed for use with water with low mineral content, or RO treated water to optimize it for use in food service and beverage preparation. The Bestmax Premium uses the four layer filtration process detailed below: 1. Pre-Filtration - Activated carbon filtration to eliminate unwanted tastes and smells. 2. Natural Mineralization - Remineralizes water with magnesium. 3. Activated Carbon - Further elimination of undesired odors and flavors. 4. Fine Filter Screen - Filters out additional fine particles from water. Please Note: Regardless of the total water volume run through the cartridge, BWT recommends replacing your filter after a maximum of 12 months of use. The Bestmin Premium M has an average capacity of 10,000 liters.",out of stock,41152448168123,https://20gramscoffeeroastery.com/products/bwt-bestmin-premium-m-filter-cartridge,,,,2021-08-05T02:39:14.000Z,2025-10-05T02:57:26.000Z,2021-08-05T02:43:55.000Z,4000 g,https://cdn.shopify.com/s/files/1/0569/3879/1099/products/bwt-bestmin.jpg,,1.0,,,,,,,,,
7294240751803,20grams Coffee Roastery,20gramscoffeeroastery,Brewing Masterclass,90.0,USD,Coffee Beans - Roasted,"Let's talk coffee - quality home brewing This Coffee Brewing course will be a great starting point for anyone interested in non-espresso brewing. Manual brewing is the easiest way to reproduce a great cup of coffee at home. In this workshop, you will learn: Extraction of taste components Main components of extraction and their movement order Variables that ""speed"" up extraction Variables that ""increase"" extraction Brew design based on quality of roasted coffee Effects of water quality in brewing, etc",out of stock,46843168063675,https://20gramscoffeeroastery.com/products/brewing,,,,2022-01-05T02:48:46.000Z,2025-10-05T02:57:26.000Z,2022-01-05T02:59:11.000Z,350 g,https://cdn.shopify.com/s/files/1/0569/3879/1099/products/brewingworkshop-2.jpg,,1.0,,,,,,,,,
7686148915387,20grams Coffee Roastery,20gramscoffeeroastery,Roasting Masterclass,500.0,USD,Coffee Beans - Roasted,"Coffee roasting is a passion. It gives you pleasure, and it allows you to unfold your senses and abilities. In our roastery, we don’t believe that it is an art. Rather, it is an artisan process that can be learned through knowledge, dedication, and practice. This workshop is for both the less experienced roaster as well as the very experienced. We will not be talking about specific preferred roast styles. We can improve some aspects in your roast profile design to be able to make more balanced coffees. In this workshop, you will learn: Aligning roast approach with different coffee varietals Aligning roast approach with different coffee processing Aligning roast profiles for different expressions and solubility Balancing acidity and sweetness Manipulating whole bean (WB) / ground (GR) roast development to control flavours Flavour/Aroma versus WB / GR colour and colour delta Tasting of Nordic style coffees Open discussion on personal roast profiles, imperfections, etc",out of stock,43591497613499,https://20gramscoffeeroastery.com/products/roasting-masterclass,,,,2022-10-11T02:43:03.000Z,2025-10-05T02:57:27.000Z,2024-06-03T11:31:24.000Z,350 g,https://cdn.shopify.com/s/files/1/0569/3879/1099/files/roastworkshop-1.png,,1.0,,,,,,,July 19 2025 09:00 - 15:00,,
7015355416763,20grams Coffee Roastery,20gramscoffeeroastery,BWT Bestmin Premium M Water Filter Package w/Besthead FLEX,793.0,USD,Equipment,"Complete your Set-Up with the BWT Bestmin Premium M Filter Package. Bundled for your convenience, the BWT Bestmin Premium M Filter Package w/Besthead FLEX has what you need to keep your espresso tasting great. The new Besthead FLEX features an updated mounting bracket for greater compatibility with different types of screws, an integrated flush valve, and the ability to swap out the included fittings for others produced by BWT. BWT bestmin PREMIUM is a unique filter system specially designed to mineralise water that is virtually free of salts. BWT bestmin PREMIUM is an integral component of the compact BWT bestaqua MIN system's reverse osmosis unit, a clever combination of reverse osmosis and downstream remineralisation, specially developed for raw water with high salt and chloride content. This filter not only removes undesirable components such as particulates and substances that lend an unpleasant taste or odour, such as chlorine, but also features a special mineralisation unit that",out of stock,41152515702971,https://20gramscoffeeroastery.com/products/bwt-bestmin-premium-m-water-filter-package-w-besthead-flex,,,,2021-08-05T02:50:44.000Z,2025-10-05T02:57:26.000Z,2021-08-05T03:00:19.000Z,5000 g,https://cdn.shopify.com/s/files/1/0569/3879/1099/products/bestmin.png,"[""https://cdn.shopify.com/s/files/1/0569/3879/1099/products/BWT_bestminPREMIUM_DB_EN_01_Page_1.jpg"", ""https://cdn.shopify.com/s/files/1/0569/3879/1099/products/BWT_bestminPREMIUM_DB_EN_01_Page_2.jpg""]",3.0,,,,,,,,,
