Product Title,Vendor,Type,Origin,Farm,Producer,Location,Varietal,Processed,Growing Altitude,Harvest,Flavour Notes,Agtron Level,Roasted Density,Variant Title,Price,Available
Monte Verde - Wush Wush Yeast Natural - Espresso,20grams Coffee Roastery,Coffee Beans - Roasted,Colombia,Monte Verde,Newerley Gutierrez,Tolima,Wush Wush,Natural,1800+ masl,October 2024,"Yellow Peach, Mango, Melon, Citrus, Chocolate","71,6(WB) / 117,0(GR) / Delta: 45,4",436g/L,02.01.2025 / 200g,0.3,No
Monte Verde - Wush Wush Yeast Natural - Espresso,20grams Coffee Roastery,Coffee Beans - Roasted,Colombia,Monte Verde,Newerley Gutierrez,Tolima,Wush Wush,Natural,1800+ masl,October 2024,"Yellow Peach, Mango, Melon, Citrus, Chocolate","71,6(WB) / 117,0(GR) / Delta: 45,4",436g/L,02.01.2025 / 1000g,1.2,Yes
La Arboleda - Caturra Chiroso Washed - Filter,20grams Coffee Roastery,Coffee Beans - Roasted,Colombia,La Arboleda,Mildrey Montoya,Urrao,Caturra Chiroso,Washed,1650+ masl,June 2024,"Peach, Lemongrass, Brown Sugar, Dried Dates, Lemon, Golden Apple",N/A,448g/L,02.01.2024 / 200g,0.25,Yes
La Arboleda - Caturra Chiroso Washed - Filter,20grams Coffee Roastery,Coffee Beans - Roasted,Colombia,La Arboleda,Mildrey Montoya,Urrao,Caturra Chiroso,Washed,1650+ masl,June 2024,"Peach, Lemongrass, Brown Sugar, Dried Dates, Lemon, Golden Apple",N/A,448g/L,02.01.2024 / 1000g,1.0,Yes
El Puente - Red Catuai Natural - Espresso,20grams Coffee Roastery,Coffee Beans - Roasted,Honduras,El Puente,Moises Herrera &amp; Marysabel Caballero,La Paz,Red Catuai,Natural,1500+ masl,October 2023 - March 2024,"Tropical Fruit, Red Gooseberry, Caramel",N/A,421g/L,05.01.2025 / 200g,0.2,Yes
El Puente - Red Catuai Natural - Espresso,20grams Coffee Roastery,Coffee Beans - Roasted,Honduras,El Puente,Moises Herrera &amp; Marysabel Caballero,La Paz,Red Catuai,Natural,1500+ masl,October 2023 - March 2024,"Tropical Fruit, Red Gooseberry, Caramel",N/A,421g/L,05.01.2025 / 1000g,0.8,Yes
Monte Verde - Wush Wush Yeast Natural - Filter,20grams Coffee Roastery,Coffee Beans - Roasted,Colombia,Monte Verde,Newerley Gutierrez,Tolima,Wush Wush,Natural,1800+ masl,October 2024,"Yellow Peach, Mango, Melon, Citrus, Chocolate","71,6(WB) / 117,0(GR) / Delta: 45,4",436g/L,02.01.2025 / 200g,0.3,No
Monte Verde - Wush Wush Yeast Natural - Filter,20grams Coffee Roastery,Coffee Beans - Roasted,Colombia,Monte Verde,Newerley Gutierrez,Tolima,Wush Wush,Natural,1800+ masl,October 2024,"Yellow Peach, Mango, Melon, Citrus, Chocolate","71,6(WB) / 117,0(GR) / Delta: 45,4",436g/L,02.01.2025 / 1000g,1.2,Yes
Monte Verde - Gesha Yeast Natural - Filter,20grams Coffee Roastery,Coffee Beans - Roasted,Colombia,Monte Verde,Newerley Gutierrez,Tolima,Gesha,Natural,1800+ masl,October 2024,"Lily, Blueberry, White Peach, Strawberry, Papaya","66,9(WB) / 115,4(GR) / Delta: 48,5",474g/L,02.01.2025 / 200g,0.3,Yes
Monte Verde - Gesha Yeast Natural - Filter,20grams Coffee Roastery,Coffee Beans - Roasted,Colombia,Monte Verde,Newerley Gutierrez,Tolima,Gesha,Natural,1800+ masl,October 2024,"Lily, Blueberry, White Peach, Strawberry, Papaya","66,9(WB) / 115,4(GR) / Delta: 48,5",474g/L,02.01.2025 / 1000g,1.2,Yes
Roaster's Choice Filter c/w Tote Bag-December 2024,20grams Coffee Roastery,Coffee Beans - Roasted,N/A,N/A,Newerley Gutierrez,N/A,Gesha,N/A,N/A,October 2024,N/A,"66,4(WB) / 117,4(GR) / Delta: 51,0",484g/L,08.12.2024,0.6,No
