Handle,Primary Image URL,Availability,Tasting Notes,Variant Part 1,Variant Part 2,Variant Part 3,Variant Price,Variant Availability,Producer,Region,Variety,Altitude,Harvest,Processing,Brewing
crowds-favourites,https://cdn.shopify.com/s/files/1/1000/4780/files/1_35518bcc-0e17-4347-9085-c3f28319cfad.png?v=1719375689,Available,,22 Martin Blend/ CMCR Espresso Blend/ Santo Antonio Brazil/ São Paulo Brazil,Espresso Roast/ 125g,Whole Beans,37.00,Available,,,,,,,
paola-trujillo-colombia,https://cdn.shopify.com/s/files/1/1000/4780/files/PaolaTrujillo.png?v=1736307487,Available,"Floral, Blackberry, Lime",150g,Filter Roast,Whole Beans,25.00,Available,Paola Trujillo,"Caldono, Cauca",Wush Wush,1570 MASL,,Washed,
koke-gediyo-ethiopia,https://cdn.shopify.com/s/files/1/1000/4780/files/KokeGediyo1x1WebBadge.png?v=1735193556,Available,"Ripe Fruits, Floral, Plum",200g,Filter Roast,Whole Beans,25.50,Available,Smallholders,"Gedeo, Yirgacheffe","74110, 74112, 74165",1973 MASL,November - February,Red Honey,
nyamurinda-rwanda,https://cdn.shopify.com/s/files/1/1000/4780/files/microlotcoffee_05506441-57c0-4bdc-80e4-da76e5c91829.png?v=1720406145,Available,"Black Berry, Blackcurrant, Lemon Juice",250g,Filter Roast,Whole Beans,24.00,Available,Nyamurinda Coffee Growers Ltd,"Mubuga, Karongi",Red Bourbon,1800 - 2000 MASL,,Washed,
nyamurinda-rwanda,https://cdn.shopify.com/s/files/1/1000/4780/files/microlotcoffee_05506441-57c0-4bdc-80e4-da76e5c91829.png?v=1720406145,Available,"Black Berry, Blackcurrant, Lemon Juice",250g,Espresso Roast,Whole Beans,24.00,Available,Nyamurinda Coffee Growers Ltd,"Mubuga, Karongi",Red Bourbon,1800 - 2000 MASL,,Washed,
huai-chomphu-thailand,https://cdn.shopify.com/s/files/1/1000/4780/files/microlotcoffee_05506441-57c0-4bdc-80e4-da76e5c91829.png?v=1720406145,Available,"Stewed Fruit, Hawflake Sweet, Brown Sugar",250g,Filter Roast,Whole Beans,22.00,Available,"Stidkhun Wuiyaku, Beanspire",Chiang Rai,"Catuai, Typica, Chiang Mai, SJ133",1450 MASL,,Anaerobic Black Honey,
huai-chomphu-thailand,https://cdn.shopify.com/s/files/1/1000/4780/files/microlotcoffee_05506441-57c0-4bdc-80e4-da76e5c91829.png?v=1720406145,Available,"Stewed Fruit, Hawflake Sweet, Brown Sugar",250g,Espresso Roast,Whole Beans,22.00,Available,"Stidkhun Wuiyaku, Beanspire",Chiang Rai,"Catuai, Typica, Chiang Mai, SJ133",1450 MASL,,Anaerobic Black Honey,
22-martin-blend-1,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_Twent2Martin.png?v=1710950390,Available,"Dark Chocolate, Hazelnuts Molasses with a lingering finish",250g,Espresso Roast,Whole Beans,19.50,Available,,,,,,,
22-martin-blend-1,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_Twent2Martin.png?v=1710950390,Available,"Dark Chocolate, Hazelnuts Molasses with a lingering finish",1kg,Espresso Roast,Whole Beans,59.00,Available,,,,,,,
cmcr-espresso-blend,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_CMCRespresso.png?v=1710950401,Available,"Ripe Cherry, Stone Fruit, Milk Chocolate",250g,Espresso Roast,Whole Beans,19.50,Available,,,,,,,
cmcr-espresso-blend,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_CMCRespresso.png?v=1710950401,Available,"Ripe Cherry, Stone Fruit, Milk Chocolate",1kg,Espresso Roast,Whole Beans,59.00,Available,,,,,,,
lucky-basterd-blend,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_LuckyBasterd.png?v=1680801882,Available,"Floral notes, Blueberries, Tropical Fruit",250g,Espresso Roast,Whole Beans,19.50,Available,,,,,,,
lucky-basterd-blend,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_LuckyBasterd.png?v=1680801882,Available,"Floral notes, Blueberries, Tropical Fruit",1kg,Espresso Roast,Whole Beans,59.00,Available,,,,,,,
country-cousin-blend,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_CountryCousin.png?v=1681089913,Available,"Black Tea, Cherry and Candied Fruit with  super clean finish",250g,Espresso Roast,Whole Beans,19.50,Available,,,,,,,
country-cousin-blend,https://cdn.shopify.com/s/files/1/1000/4780/products/CMCR_250gSB_CountryCousin.png?v=1681089913,Available,"Black Tea, Cherry and Candied Fruit with  super clean finish",1kg,Espresso Roast,Whole Beans,59.00,Available,,,,,,,
