Title,Primary Image URL,Availability,Roast Type,Flavour Notes,Region,Varietal,Process,Altitude,Vendor,Product Type,Variant Part 1,Variant Part 2,Variant Part 3,Variant Price,Variant Availability
Dutch,https://cdn.shopify.com/s/files/1/3006/6212/files/DCC_Mockup-250g_ad60ffa4-2da7-49b9-b19c-5156fcf8354e.jpg?v=1693983899,Available,espresso,Espresso,,,,,Dutch Colony Coffee Co.,Blend,250g,Whole Bean,,20.00,Available
Dutch,https://cdn.shopify.com/s/files/1/3006/6212/files/DCC_Mockup-250g_ad60ffa4-2da7-49b9-b19c-5156fcf8354e.jpg?v=1693983899,Available,espresso,Espresso,,,,,Dutch Colony Coffee Co.,Blend,1kg,Whole Bean,,72.00,Available
Colonial,https://cdn.shopify.com/s/files/1/3006/6212/files/DCC_Colonial-250g.jpg?v=1698197361,Available,espresso,Espresso,,,,,Dutch Colony Coffee Co.,Blend,250g,Whole Bean,,18.00,Available
Colonial,https://cdn.shopify.com/s/files/1/3006/6212/files/DCC_Colonial-250g.jpg?v=1698197361,Available,espresso,Espresso,,,,,Dutch Colony Coffee Co.,Blend,1kg,Whole Bean,,64.80,Available
Batavia,https://cdn.shopify.com/s/files/1/3006/6212/files/Batavia_Mockup-250g.jpg?v=1698058693,Available,espresso,Espresso,,,,,Dutch Colony Coffee Co.,Blend,250g,Whole Bean,,18.00,Available
Batavia,https://cdn.shopify.com/s/files/1/3006/6212/files/Batavia_Mockup-250g.jpg?v=1698058693,Available,espresso,Espresso,,,,,Dutch Colony Coffee Co.,Blend,1kg,Whole Bean,,64.80,Available
Rio Brilhante Arara,https://cdn.shopify.com/s/files/1/3006/6212/files/Rio-Brilhante-Arara-250g.jpg?v=1719913569,Available,omni,Apricot. Caramel Biscuit. Milk Chocolate,"Cerrado, Coromandel",Arara,Natural - Dried on patios,1050 Metres,Dutch Colony Coffee Co.,Single Origin,250g,Whole Bean,,22.00,Available
Rio Brilhante Arara,https://cdn.shopify.com/s/files/1/3006/6212/files/Rio-Brilhante-Arara-250g.jpg?v=1719913569,Available,omni,Apricot. Caramel Biscuit. Milk Chocolate,"Cerrado, Coromandel",Arara,Natural - Dried on patios,1050 Metres,Dutch Colony Coffee Co.,Single Origin,1kg,Whole Bean,,79.20,Available
Rio Brilhante,https://cdn.shopify.com/s/files/1/3006/6212/products/Rio-Brilhante-250g_b7d95922-9c28-4db8-9aa8-3de9bf0839e0.jpg?v=1680657028,Available,espresso,Red Apple. Boyson Berry. 70% Dark Chocolate,"Cerrado, Coromandel",Catuai 99,Natural,1050 Metres,Dutch Colony Coffee Co.,Single Origin,250g,Whole Bean,,20.00,Available
Rio Brilhante,https://cdn.shopify.com/s/files/1/3006/6212/products/Rio-Brilhante-250g_b7d95922-9c28-4db8-9aa8-3de9bf0839e0.jpg?v=1680657028,Available,espresso,Red Apple. Boyson Berry. 70% Dark Chocolate,"Cerrado, Coromandel",Catuai 99,Natural,1050 Metres,Dutch Colony Coffee Co.,Single Origin,1kg,Whole Bean,,72.00,Available
