Title,Description,Tasting Notes,Primary Image URL,Availability,Vendor,Product Type,Tags,Variant Title,Variant Price,Grams,Variant Availability
"Elida Estate - Torre, Natural, Panama","This specialty coffee comes from Elida Estate in Boquete, Panama. It is a Gesha varietal, natural processed, roasted in Singapore.","elderflower, yellow peach, white tea, smooth",https://cdn.shopify.com/s/files/1/0035/8144/4194/files/Elida_Estate_-_Torre_Natural_Panama_-_Front.jpg?v=1738909063,Available,Homeground Coffee Roasters,Filter Coffee,"Current Selection, Filter Coffee",100g,48.00,200,Available
"Aquiares Estate, Esperanza, Anaerobic Washed, Costa Rica","This specialty coffee comes from the farm Aquiares Estate, Costa Rica. It is a Esperanza varietal, Washed Anaerobic processed, roasted in Singapore.","apple, golden kiwi, plum, cardamon",https://cdn.shopify.com/s/files/1/0035/8144/4194/files/AquiaresEstate_Esperanza_AnaerobicWashed_CostaRica-Front.jpg?v=1738817081,Available,Homeground Coffee Roasters,Filter Coffee,"Current Selection, Filter Coffee",125g,15.00,200,Available
"Aquiares Estate, Esperanza, Anaerobic Washed, Costa Rica","This specialty coffee comes from the farm Aquiares Estate, Costa Rica. It is a Esperanza varietal, Washed Anaerobic processed, roasted in Singapore.","apple, golden kiwi, plum, cardamon",https://cdn.shopify.com/s/files/1/0035/8144/4194/files/AquiaresEstate_Esperanza_AnaerobicWashed_CostaRica-Front.jpg?v=1738817081,Available,Homeground Coffee Roasters,Filter Coffee,"Current Selection, Filter Coffee",250g,28.00,300,Available
"Aquiares Estate, Esperanza, Anaerobic Washed, Costa Rica","This specialty coffee comes from the farm Aquiares Estate, Costa Rica. It is a Esperanza varietal, Washed Anaerobic processed, roasted in Singapore.","apple, golden kiwi, plum, cardamon",https://cdn.shopify.com/s/files/1/0035/8144/4194/files/AquiaresEstate_Esperanza_AnaerobicWashed_CostaRica-Front.jpg?v=1738817081,Available,Homeground Coffee Roasters,Filter Coffee,"Current Selection, Filter Coffee",500g,51.00,550,Available
"Finca Villa Betulia, Pink Bourbon, Anaerobic Natural, Colombia","This specialty coffee comes from the farm Finca Villa Betulia, in Huila, Colombia. It is a Pink Bourbon varietal, Natural Anaerobic processed, roasted in Singapore.","red grape, longan, poached strawberry, winey",https://cdn.shopify.com/s/files/1/0035/8144/4194/files/FincaVillaBetulia_PinkBourbon_AnaerobicNatural_Colombia-Front.jpg?v=1737699691,Available,Homeground Coffee Roasters,Filter Coffee,"Current Selection, Filter Coffee",125g,24.00,200,Available
"Finca Villa Betulia, Pink Bourbon, Anaerobic Natural, Colombia","This specialty coffee comes from the farm Finca Villa Betulia, in Huila, Colombia. It is a Pink Bourbon varietal, Natural Anaerobic processed, roasted in Singapore.","red grape, longan, poached strawberry, winey",https://cdn.shopify.com/s/files/1/0035/8144/4194/files/FincaVillaBetulia_PinkBourbon_AnaerobicNatural_Colombia-Front.jpg?v=1737699691,Available,Homeground Coffee Roasters,Filter Coffee,"Current Selection, Filter Coffee",250g,43.50,300,Available
"Finca Villa Betulia, Pink Bourbon, Anaerobic Natural, Colombia","This specialty coffee comes from the farm Finca Villa Betulia, in Huila, Colombia. It is a Pink Bourbon varietal, Natural Anaerobic processed, roasted in Singapore.","red grape, longan, poached strawberry, winey",https://cdn.shopify.com/s/files/1/0035/8144/4194/files/FincaVillaBetulia_PinkBourbon_AnaerobicNatural_Colombia-Front.jpg?v=1737699691,Available,Homeground Coffee Roasters,Filter Coffee,"Current Selection, Filter Coffee",500g,78.00,550,Available
"La Esperanza, Colombia & Caturra & Mandela, Washed, Colombia","This specialty coffee comes from the farm, La Esperanza, in Valle de Cauca, Colombia. It is a Colombia, Caturra, Mandela varietal, washed processed, roasted in Singapore.","White - white peach, oolong milk tea Black - yellow peach, white grape, syrupy",https://cdn.shopify.com/s/files/1/0035/8144/4194/files/LaEsperanza_Colombia_Caturra_Mandela_Washed_Colombia-Front.jpg?v=1737697512,Available,Homeground Coffee Roasters,Espresso Coffee,"Current Selection, Espresso Coffee",250g,26.00,250,Available
"La Esperanza, Colombia & Caturra & Mandela, Washed, Colombia","This specialty coffee comes from the farm, La Esperanza, in Valle de Cauca, Colombia. It is a Colombia, Caturra, Mandela varietal, washed processed, roasted in Singapore.","White - white peach, oolong milk tea Black - yellow peach, white grape, syrupy",https://cdn.shopify.com/s/files/1/0035/8144/4194/files/LaEsperanza_Colombia_Caturra_Mandela_Washed_Colombia-Front.jpg?v=1737697512,Available,Homeground Coffee Roasters,Espresso Coffee,"Current Selection, Espresso Coffee",500g,48.00,500,Available
"La Esperanza, Colombia & Caturra & Mandela, Washed, Colombia","This specialty coffee comes from the farm, La Esperanza, in Valle de Cauca, Colombia. It is a Colombia, Caturra, Mandela varietal, washed processed, roasted in Singapore.","White - white peach, oolong milk tea Black - yellow peach, white grape, syrupy",https://cdn.shopify.com/s/files/1/0035/8144/4194/files/LaEsperanza_Colombia_Caturra_Mandela_Washed_Colombia-Front.jpg?v=1737697512,Available,Homeground Coffee Roasters,Espresso Coffee,"Current Selection, Espresso Coffee",1kg,85.00,1000,Available
