Title,Primary Image URL,Availability,Roast Type,Flavour Notes,Region,Varietal,Process,Altitude,Vendor,Product Type,Tags,Cup Characteristics,Origins,Variant Part 1,Variant Part 2,Variant Part 3,Variant Price,Variant Availability,Grams
Bold As Love 250g,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-boldaslove-3.jpg?v=1684309880,Available,,,,,,,Jewel Coffee,Coffee Beans,"Coffee Beans 250g, Subscription","Chocolate, Big Mouthfeel, Smooth","Brazil, Sumatra",Whole Bean,,,18.00,Available,250
Ethiopia 250g,https://cdn.shopify.com/s/files/1/0556/3079/0844/products/ethiopia-250g-Beans2.jpg?v=1670923895,Available,,,,Gibirinna 74110,,,Jewel Coffee,Coffee Beans,"Coffee Beans 250g, Subscription","Floral, Peach, Strawberry",,Whole Bean,,,18.00,Available,0
Brazil 250g,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-brazil-3.jpg?v=1684309934,Available,,,,Yellow Bourbon,,,Jewel Coffee,Coffee Beans,"Coffee Beans 250g, Subscription","Honey, Nutty, Creamy",,Whole Bean,,,18.00,Available,250
Alpha Red 250g,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-alphared-3.jpg?v=1684309536,Available,,,,,,,Jewel Coffee,Coffee Beans,"Coffee Beans 250g, Subscription","Floral, Round Body, Cherry & Toffee",El Salvador + Ethiopia + Indonesia,Whole Bean,,,18.00,Available,250
El Salvador 250g,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-elsalvador-3.jpg?v=1684313001,Available,,,,Pacas / Red Bourbon,,,Jewel Coffee,Coffee Beans,"Coffee Beans 250g, Subscription","Caramel, Apple Sweetness, Heavy Body",,Whole Bean,,,18.00,Available,250
Old Friends 250g,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-oldfriends-3.jpg?v=1684313091,Available,,,,,,,Jewel Coffee,Coffee Beans,"Coffee Beans 250g, Subscription","Floral, Fruity, Well-Bodied",Ethiopia + Indonesia,Whole Bean,,,18.00,Available,0
Pearl Gem 250g,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-pearlgem-3.jpg?v=1684313190,Available,,,,,,,Jewel Coffee,Coffee Beans,"Coffee Beans 250g, Subscription","Vibrant, Complex, Silky Smooth",Central America + East Africa,Whole Bean,,,18.00,Available,0
Bold As Love 1kg,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans1kg-boldaslove-3.jpg?v=1684309850,Available,,,,,,,Jewel Coffee,Coffee Beans,"Coffee Beans 1kg, Subscription","Chocolate, Big Mouthfeel, Lingering Finish","Brazil, Sumatra",1kg,Whole Bean,,59.00,Available,1000
Brazil 1kg,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans1kg-brazil-3.jpg?v=1684309905,Available,,,,Yellow Bourbon,,,Jewel Coffee,Coffee Beans,"Coffee Beans 1kg, Subscription","Honey, Nutty, Creamy",,Whole Bean,,,59.00,Available,1000
Tanzania 250g,https://cdn.shopify.com/s/files/1/0556/3079/0844/files/Marketplace-Beans250g-tanzania-3.jpg?v=1684313381,Available,,,,"Bourbon, Kent",,,Jewel Coffee,Coffee Beans,"Coffee Beans 250g, Subscription","Peach, Juicy Sweet, Smooth Finish",,Whole Bean,,,26.00,Available,0
