Handle,Primary Image URL,Availability,Tasting Notes,Variant Name,Variant Price,Variant Availability,Producer,Region,Variety,Altitude,Harvest,Processing,Brewing
nicaragua-las-tres-hermanas,https://nylon.coffee/cdn/shop/files/TH-white.jpg?v=1736177120&width=3970,Sold out,"Dried Orange, Nectarine, Yellow Plum",Base Product,23.00,Sold out,Cinthya Magarita Morales Blandino,"Mozonte, Nueva Segovia, Nicaragua",Bourbon Tekesic,1500 - 600 masl,Jan - Mar 2024,Washed,Filter
guatemala-juan-ramirez,https://nylon.coffee/cdn/shop/files/JR-white_5a384122-1070-4757-999b-c04adaf886c8.jpg?v=1736178590&width=3970,In Stock,"Cherry, Red Plum, Dried Fig, Sultanas",Base Product,23.00,In Stock,Juan Ramirez,"Concepcion Huista, Huehuetenango, Guatemala",Caturra,1700 - 1900 masl,Feb 2024,Washed,Filter
ethiopia-danche,https://nylon.coffee/cdn/shop/files/danche-white_17d46de2-301f-4a42-9a1c-b4072c92aec6.jpg?v=1736178800&width=3970,In Stock,"Clementine, Pink Peach, Orange Blossom",Base Product,24.00,In Stock,Various Smallholder Producers,"Gedeb, Gedeo, Ethiopia",Ethiopian Heirloom,2000 - 2300 masl,Dec - Jan 2024,Washed,Filter
el-salvador-los-pirineos,https://nylon.coffee/cdn/shop/files/LP-white_eddc3750-3a22-4dd4-a05c-00faec01aa96.jpg?v=1736061267&width=3970,In Stock,"Dried Tropical Fruits, Sultanas, Choco Hazelnut",Base Product,22.00,In Stock,Diego Baraona,"Tecapa-Chinameca, Usulutan, El Salvador",Bourbon Elite,1300 - 1500 masl,Feb 2024,Washed,Filter
guatemala-yinta-witz,https://nylon.coffee/cdn/shop/files/YW-white.jpg?v=1736589755&width=3970,In Stock,"Dried Orange, Berries, Apricot, Nougat",Base Product,24.00,In Stock,Catarina Ramirez,"Concepciòn Huista, Huehuetenango, Guatemala","Catuai, Caturra","1,560 - 1620 masl",Jan 2024,Washed,Filter
el-salvador-santa-petrona,https://nylon.coffee/cdn/shop/files/SP-300g-white_a7169566-60d2-44ee-babc-fc1fcf4454c6.jpg?v=1736061941&width=4060,Sold out,"Red Apple, Black Cherry, Raisins, Chocolate",El Salvador Santa Petrona - 300g,23.00,http://schema.org/OutOfStock,Pacas Family,"Santa Ana, El Salvador",Bourbon,1450 masl,Dec - Feb 2024,Washed,Espresso
el-salvador-santa-petrona,https://nylon.coffee/cdn/shop/files/SP-300g-white_a7169566-60d2-44ee-babc-fc1fcf4454c6.jpg?v=1736061941&width=4060,Sold out,"Red Apple, Black Cherry, Raisins, Chocolate",El Salvador Santa Petrona - 1kg,65.20,http://schema.org/OutOfStock,Pacas Family,"Santa Ana, El Salvador",Bourbon,1450 masl,Dec - Feb 2024,Washed,Espresso
nicaragua-santa-maria-de-lourdes,https://nylon.coffee/cdn/shop/files/SMdl-300g-white.jpg?v=1736092329&width=4060,Sold out,"Cherry, Golden Raisins, Toffee, Chocolate",Nicaragua Santa Maria de Lourdes - 300g,25.50,http://schema.org/OutOfStock,Octavio Peralta,"Nueva Segovia, Nicaragua",Caturra,1560 masl,Jan 2024,Natural Anaerobic,Espresso
nicaragua-santa-maria-de-lourdes,https://nylon.coffee/cdn/shop/files/SMdl-300g-white.jpg?v=1736092329&width=4060,Sold out,"Cherry, Golden Raisins, Toffee, Chocolate",Nicaragua Santa Maria de Lourdes - 1kg,72.25,http://schema.org/OutOfStock,Octavio Peralta,"Nueva Segovia, Nicaragua",Caturra,1560 masl,Jan 2024,Natural Anaerobic,Espresso
guatemala-tzun-witz,https://nylon.coffee/cdn/shop/files/tw-300g-white.jpg?v=1736127717&width=4060,In Stock,"Berries, Dried Apricot, Jammy, Milk Chocolate",Guatemala Tzun Witz - 300g,26.50,http://schema.org/InStock,Maria Ramirez Vargas,"Concepcion Huista, Huehuetenango, Guatemala","Catuai, Caturra",1780 - 1850 masl,Dec - Feb 2024,Washed,Espresso
guatemala-tzun-witz,https://nylon.coffee/cdn/shop/files/tw-300g-white.jpg?v=1736127717&width=4060,In Stock,"Berries, Dried Apricot, Jammy, Milk Chocolate",Guatemala Tzun Witz - 1kg,75.10,http://schema.org/InStock,Maria Ramirez Vargas,"Concepcion Huista, Huehuetenango, Guatemala","Catuai, Caturra",1780 - 1850 masl,Dec - Feb 2024,Washed,Espresso
ethiopia-lalesa,https://nylon.coffee/cdn/shop/files/Lale-300g-white.jpg?v=1736091695&width=4060,In Stock,"Grapefruit, Dried Peach, Berries, Bergamot",Ethiopia Lalesa - 300g,32.00,http://schema.org/InStock,Smallholder Cooperative members,"Gedeb, Gedeo, Ethiopia",Ethiopian Heirloom,2150 masl,Nov - Dec 2023,Washed,Espresso
ethiopia-lalesa,https://nylon.coffee/cdn/shop/files/Lale-300g-white.jpg?v=1736091695&width=4060,In Stock,"Grapefruit, Dried Peach, Berries, Bergamot",Ethiopia Lalesa - 1kg,90.70,http://schema.org/InStock,Smallholder Cooperative members,"Gedeb, Gedeo, Ethiopia",Ethiopian Heirloom,2150 masl,Nov - Dec 2023,Washed,Espresso
honduras-el-puente,https://nylon.coffee/cdn/shop/files/EP-white.jpg?v=1736834459&width=4060,In Stock,"Red Apple, Dried Peach, Pine Nuts, Milk Chocolate",Honduras El Puente - 300g,24.50,http://schema.org/InStock,Moises Herrera & Marysabel Caballero,"Chinacla, La Paz, Honduras",Red Catuai,1500 - 1680 masl,Nov - Jan 2024,Washed,Espresso
honduras-el-puente,https://nylon.coffee/cdn/shop/files/EP-white.jpg?v=1736834459&width=4060,In Stock,"Red Apple, Dried Peach, Pine Nuts, Milk Chocolate",Honduras El Puente - 1kg,69.45,http://schema.org/InStock,Moises Herrera & Marysabel Caballero,"Chinacla, La Paz, Honduras",Red Catuai,1500 - 1680 masl,Nov - Jan 2024,Washed,Espresso
