Title,Primary Image URL,Availability,Roast Type,Flavour Notes,Vendor,Product Type,Variant Part 1,Variant Part 2,Variant Price,Variant Availability
Coffee Blend - Strawberry Glory,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_1_52cf92f4-68be-4b82-b7e0-b15821fa62fa.png?v=1737470100,Available,espresso,Strawberry | Chocolates | Floral | Blueberries,Parchmen & Co,Specialty Coffee,150g,Whole Beans,14.00,Available
Coffee Blend - Strawberry Glory,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_1_52cf92f4-68be-4b82-b7e0-b15821fa62fa.png?v=1737470100,Available,espresso,Strawberry | Chocolates | Floral | Blueberries,Parchmen & Co,Specialty Coffee,250g,Whole Beans,22.00,Available
Coffee Blend - Strawberry Glory,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_1_52cf92f4-68be-4b82-b7e0-b15821fa62fa.png?v=1737470100,Available,espresso,Strawberry | Chocolates | Floral | Blueberries,Parchmen & Co,Specialty Coffee,500g,Whole Beans,38.00,Available
Coffee Blend - Strawberry Glory,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_1_52cf92f4-68be-4b82-b7e0-b15821fa62fa.png?v=1737470100,Available,espresso,Strawberry | Chocolates | Floral | Blueberries,Parchmen & Co,Specialty Coffee,1kg,Whole Beans,55.00,Available
Coffee Blend - Momotarō,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_2.png?v=1737470142,Available,espresso,Peaches | Chocolates | Caramel,Parchmen & Co,Specialty Coffee,150g,Whole Beans,14.00,Available
Coffee Blend - Momotarō,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_2.png?v=1737470142,Available,espresso,Peaches | Chocolates | Caramel,Parchmen & Co,Specialty Coffee,250g,Whole Beans,21.00,Available
Coffee Blend - Momotarō,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_2.png?v=1737470142,Available,espresso,Peaches | Chocolates | Caramel,Parchmen & Co,Specialty Coffee,1000g,Whole Beans,55.00,Available
Coffee Blend - Lychee Breeze,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_6.png?v=1737473307,Available,espresso,Lychee | Chocolates | Floral | Blueberries,Parchmen & Co,Specialty Coffee,150g,Whole Beans,14.00,Available
Coffee Blend - Lychee Breeze,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_6.png?v=1737473307,Available,espresso,Lychee | Chocolates | Floral | Blueberries,Parchmen & Co,Specialty Coffee,250g,Whole Beans,21.00,Available
Coffee Blend - Lychee Breeze,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_6.png?v=1737473307,Available,espresso,Lychee | Chocolates | Floral | Blueberries,Parchmen & Co,Specialty Coffee,1kg,Whole Beans,55.00,Available
Coffee Blend - Raja Pisang,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_7.png?v=1737473500,Available,espresso,Banana | Chocolate | Nougat | Yellow Florals,Parchmen & Co,Specialty Coffee,150g,Whole Beans,14.00,Available
Coffee Blend - Raja Pisang,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_7.png?v=1737473500,Available,espresso,Banana | Chocolate | Nougat | Yellow Florals,Parchmen & Co,Specialty Coffee,250g,Whole Beans,21.00,Available
Coffee Blend - Raja Pisang,https://cdn.shopify.com/s/files/1/1263/3859/files/2024Labels_10x7cm_7.png?v=1737473500,Available,espresso,Banana | Chocolate | Nougat | Yellow Florals,Parchmen & Co,Specialty Coffee,500g,Whole Beans,38.00,Available
