Title,Primary Image URL,Availability,Roast Type,Flavour Note,Region,Varietal,Process,Altitude,Vendor,Product Type,Tags,Cup Characteristics,Variant Part 1,Variant Part 2,Variant Part 3,Variant Price,Variant Availability,Grams
Classic Choco Blend Roasted Beans 500g,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/classic_choco_bag.webp?v=1713858494,Available,Medium Dark,⭐️ NEW IN ⭐️,,,,,splendourcoffee.com,roasted coffee beans,beans,,500G,,,22.99,Available,550
Sweet Melody Blend Roasted Beans 500g,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/sweet_melody_blend_500g_coffee_beans.webp?v=1713858239,Available,Medium Dark,"""👍🏻 Floral and berries notes for a great smooth finish""",,,,,splendourcoffee.com,roasted coffee beans,beans,,500G,,,27.99,Available,550
Classic Beans 500g,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/splendour_classic_coffee_beans.jpg?v=1699954207,Available,,Flavour Notes:,,,,,splendourcoffee.com,roasted coffee beans,woo_import_1,,500g,,,20.99,Available,550
Ethiopia Sidamo Roasted Beans 500g,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/ethiopia_sidamo_coffee_beans.webp?v=1696303157,Available,Medium Dark,"Floral, Citrus, Fruity, Spices, Chocolates and Nutty",Sidamo Ethiopia,,,1600-1900 metres,splendourcoffee.com,roasted coffee beans,beans,,500G,,,23.99,Available,550
Brazil Fazenda Amarela Roasted Beans 500g,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/brazil_amerala_label_pack.webp?v=1696302728,Available,Medium Dark,"Chocolate, Nutty, Floral, Milky, Fruity and Cream","Minas Gerais, Amerela",,,1000-1200 metres,splendourcoffee.com,roasted coffee beans,beans,,500G,,,24.99,Available,550
Colombia Casablanca Roasted Beans 500g,https://cdn.shopify.com/s/files/1/0130/5758/9305/files/colombia_casablanca_pack.webp?v=1696302353,Available,Medium Dark,"Chocolate, Nutty, Floral, Milky, Fruity and Cream","Casablanca, Tolima, Colombia",,,1600-1900 metres,splendourcoffee.com,roasted coffee beans,beans,,500G,,,24.99,Available,550
Honduras Roasted Beans 500g,https://cdn.shopify.com/s/files/1/0130/5758/9305/products/honduras_coffee_beans_singapore_roaster.jpg?v=1665032454,Available,Medium-Dark,Enjoy this balanced creamy nutty coffee with slight hints of florals.,Honduras. Finca La Chorrera Microlot SHG EP,,,1650 metres,splendourcoffee.com,roasted coffee beans,beans,,500G,,,24.99,Available,550
Panama Roasted Beans 500g,https://cdn.shopify.com/s/files/1/0130/5758/9305/products/panama_coffee_beans_singapore_roaster.jpg?v=1665032015,Available,Medium-Dark,"Honey, berries, bright citrus with a cocoa finish.","Panama, Volcan Region. Finca Santa Teresa-Batista",,,1400-1800 metres,splendourcoffee.com,roasted coffee beans,beans,,500G,,,24.99,Available,550
Tanzania AA Roasted Beans 500g,https://cdn.shopify.com/s/files/1/0130/5758/9305/products/tanzania_coffee_beans_singapore_roaster.jpg?v=1665025410,Available,Medium-Dark,"Floral with wines, tropical fruitiness, hint of berries and cinnamon with intense sweetness in a mild acidity body.","Tanzania AA, Arusha Region",,,1400-1800 metres,splendourcoffee.com,roasted coffee beans,beans,,500G,,,24.99,Available,550
Kenya Kisii Masimba Roasted Beans 500g,https://cdn.shopify.com/s/files/1/0130/5758/9305/products/kenya_bag_coffee_beans.jpg?v=1647581473,Available,Medium Dark,"Floral with wines, tropical fruitiness, hint of berries and cinnamon with intense sweetness in a mild acidity body.",Kenya Kisii Masimba,,,1700-1800 metres,splendourcoffee.com,roasted coffee beans,beans,,500G,,,26.99,Available,550
Grand Summit of Wonders Roasted Beans 500g,https://cdn.shopify.com/s/files/1/0130/5758/9305/products/grand_summit_of_wonders_coffee_beans.jpg?v=1635409855,Available,Medium Dark,⭐️ NEW IN ⭐️,Multi-region,,,,splendourcoffee.com,roasted coffee beans,beans,,500G,,,24.99,Available,550
"Toraja, Sulawesi Roasted Beans 500g",https://cdn.shopify.com/s/files/1/0130/5758/9305/products/toraja_coffee_beans.jpg?v=1635344439,Available,medium dark,"Delight your senses with every sip that exudes rich fruitiness, mild herbal notes with a full-body and a mocha chocolatey finish","Toraja (Sulawesi, Indonesia)",,,1200-1400 metres,splendourcoffee.com,roasted coffee beans,beans,,500G,,,24.99,Available,550
